FileName,JobID,JobName,Partition,State,ExitCode,Start,End,Elapsed,NCPUS,NNodes,NodeList,ReqMem,MaxRSS,AllocCPUS,Timelimit,TotalCPU
2 5 5_2 2 2_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529572,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:46,00:01:52,8,4,c1cmp[019-022],120G,884452K,8,2-00:00:00,01:49.192
2 5 5_2 2 2_1 1 1_1 1 1_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530819,port_elec+,batch,COMPLETED,0:0,2024-02-08T15:11:24,2024-02-08T16:41:14,01:29:50,8,4,c1cmp[053-054]+,120G,2591408K,8,2-00:00:00,01:29:33
2 5 5_2 2 2_1 1 1_2 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530853,port_elec+,batch,COMPLETED,0:0,2024-02-08T19:20:56,2024-02-08T20:59:38,01:38:42,8,4,c1cmp[053-054]+,120G,2861156K,8,2-00:00:00,01:38:33
2 5 5_2 2 2_1 1 1_2 2 2_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530877,port_elec+,batch,COMPLETED,0:0,2024-02-08T22:18:04,2024-02-09T00:39:20,02:21:16,8,4,c1cmp[010-012]+,120G,2796192K,8,2-00:00:00,02:21:06
2 5 5_2 2 2_1 1 1_2 2 2_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530885,port_elec+,batch,COMPLETED,0:0,2024-02-08T23:22:08,2024-02-09T01:49:49,02:27:41,8,4,c1cmp[019-022],120G,2774896K,8,2-00:00:00,02:27:32
2 5 5_2 2 2_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530861,port_elec+,batch,COMPLETED,0:0,2024-02-08T20:25:57,2024-02-08T22:49:47,02:23:50,8,4,c1cmp[019-022],120G,2861932K,8,2-00:00:00,02:23:41
2 5 5_2 2 2_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530845,port_elec+,batch,COMPLETED,0:0,2024-02-08T18:08:21,2024-02-08T20:33:47,02:25:26,8,4,c1cmp[019-022],120G,2759620K,8,2-00:00:00,02:25:17
2 5 5_2 2 2_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529574,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:48,00:01:54,8,4,"c1cmp[010-012,+",120G,876080K,8,2-00:00:00,01:50.760
2 5 5_2 2 2_1 1 1_2 2 2_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530869,port_elec+,batch,COMPLETED,0:0,2024-02-08T21:20:59,2024-02-08T22:31:22,01:10:23,8,4,"p1cmp[029,043-+",120G,2545656K,8,2-00:00:00,01:10:21
2 5 5_2 2 2_2 2 2_1 1 1_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530901,port_elec+,batch,COMPLETED,0:0,2024-02-09T01:38:46,2024-02-09T04:03:51,02:25:05,8,4,c1cmp[019-022],120G,2827772K,8,2-00:00:00,02:24:56
2 5 5_2 2 2_2 2 2_1 1 1_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530925,port_elec+,batch,COMPLETED,0:0,2024-02-09T04:53:27,2024-02-09T07:21:29,02:28:02,8,4,"c1cmp[004,014-+",120G,2824000K,8,2-00:00:00,02:27:54
2 5 5_2 2 2_2 2 2_1 1 1_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530933,port_elec+,batch,COMPLETED,0:0,2024-02-09T05:49:59,2024-02-09T06:58:07,01:08:08,8,4,"p1cmp[029,043-+",120G,2815016K,8,2-00:00:00,01:08:06
2 5 5_2 2 2_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530909,port_elec+,batch,COMPLETED,0:0,2024-02-09T02:44:50,2024-02-09T05:08:07,02:23:17,8,4,c1cmp[006-007]+,120G,2823836K,8,2-00:00:00,02:23:08
2 5 5_2 2 2_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530893,port_elec+,batch,COMPLETED,0:0,2024-02-09T00:19:11,2024-02-09T02:39:43,02:20:32,8,4,"c1cmp[023-024,+",120G,2834700K,8,2-00:00:00,02:20:15
2 5 5_2 2 2_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529576,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:46,00:01:52,8,4,"c1cmp[014-016,+",120G,916652K,8,2-00:00:00,01:48.999
2 5 5_2 2 2_2 2 2_1 1 1_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530917,port_elec+,batch,COMPLETED,0:0,2024-02-09T03:39:53,2024-02-09T06:00:49,02:20:56,8,4,c1cmp[010-012]+,120G,2594952K,8,2-00:00:00,02:20:43
2 5 5_2 2 2_2 2 2_2 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530949,port_elec+,batch,COMPLETED,0:0,2024-02-09T08:01:04,2024-02-09T10:23:58,02:22:54,8,4,"c1cmp[006-008,+",120G,2860000K,8,2-00:00:00,02:22:45
2 5 5_2 2 2_2 2 2_2 2 2_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530973,port_elec+,batch,COMPLETED,0:0,2024-02-09T10:53:00,2024-02-09T13:16:05,02:23:05,8,4,c1cmp[010-012]+,120G,2820992K,8,2-00:00:00,02:22:57
